Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Campocologno;7744;0;Brusio;3551;GR;2808496.250;1123800.438;it
Viano;7747;0;Brusio;3551;GR;2808259.790;1126062.123;it
Campascio;7748;0;Brusio;3551;GR;2807520.839;1125091.960;it
Ospizio Bernina;7710;0;Poschiavo;3561;GR;2798602.396;1143192.295;it
Alp Grüm;7710;2;Poschiavo;3561;GR;2799570.375;1139232.125;it
S. Carlo (Poschiavo);7741;0;Poschiavo;3561;GR;2802101.653;1135868.903;it
Poschiavo;7742;0;Poschiavo;3561;GR;2801994.735;1133836.985;it
Sfazù;7742;2;Poschiavo;3561;GR;2803223.839;1140939.935;it
La Rösa;7742;3;Poschiavo;3561;GR;2802237.905;1142272.248;it
Miralago;7743;2;Poschiavo;3561;GR;2805172.125;1128109.000;it
Li Curt;7745;0;Poschiavo;3561;GR;2802101.880;1132190.504;it
Le Prese;7746;0;Poschiavo;3561;GR;2803541.678;1130289.253;it
Falera;7153;0;Falera;3572;GR;2736863.685;1184797.272;rm
Laax GR;7031;0;Laax;3575;GR;2738529.956;1185263.686;rm
Laax GR 2;7032;0;Laax;3575;GR;2739287.081;1187268.295;rm
Sagogn;7152;0;Sagogn;3581;GR;2738602.298;1183586.540;rm
Schluein;7151;0;Schluein;3582;GR;2736641.163;1183519.186;rm
St. Martin (Lugnez);7116;2;Vals;3603;GR;2733512.060;1170646.471;de
Vals;7132;0;Vals;3603;GR;2733223.444;1164508.990;de
Peiden;7110;0;Lumnezia;3618;GR;2734348.059;1175817.485;rm
Camuns;7113;0;Lumnezia;3618;GR;2734489.911;1173993.355;rm
Uors (Lumnezia);7114;0;Lumnezia;3618;GR;2733408.499;1173710.604;rm
Surcasti;7115;0;Lumnezia;3618;GR;2732938.449;1173202.254;rm
Tersnaus;7116;0;Lumnezia;3618;GR;2733552.483;1172814.786;rm
Cumbel;7142;0;Lumnezia;3618;GR;2734020.355;1176478.978;rm
Morissen;7143;0;Lumnezia;3618;GR;2733157.956;1176884.140;rm
Vella;7144;0;Lumnezia;3618;GR;2732637.859;1175543.939;rm
Degen;7145;0;Lumnezia;3618;GR;2732240.123;1174199.169;rm
Vattiz;7146;0;Lumnezia;3618;GR;2731641.008;1174273.655;rm
Vignogn;7147;0;Lumnezia;3618;GR;2731373.711;1173445.490;rm
Lumbrein;7148;0;Lumnezia;3618;GR;2729843.400;1171655.806;rm
Vrin;7149;0;Lumnezia;3618;GR;2727106.739;1168446.551;rm
Pitasch;7111;0;Ilanz/Glion;3619;GR;2735916.580;1177056.096;rm
Duvin;7112;0;Ilanz/Glion;3619;GR;2735524.378;1175306.701;rm
Castrisch;7126;0;Ilanz/Glion;3619;GR;2736913.031;1182218.991;rm
Sevgein;7127;0;Ilanz/Glion;3619;GR;2736166.109;1180897.674;rm
Riein;7128;0;Ilanz/Glion;3619;GR;2737120.944;1178581.225;rm
Ilanz;7130;0;Ilanz/Glion;3619;GR;2734759.795;1181743.685;rm
Schnaus;7130;2;Ilanz/Glion;3619;GR;2733028.263;1182135.255;rm
Schnaus;7130;2;Ilanz/Glion;3619;GR;2732962.750;1187183.688;rm
Luven;7141;0;Ilanz/Glion;3619;GR;2734458.459;1180531.638;rm
Ruschein;7154;0;Ilanz/Glion;3619;GR;2733865.559;1183044.251;rm
Ladir;7155;0;Ilanz/Glion;3619;GR;2734828.894;1183563.571;rm
Ladir;7155;0;Ilanz/Glion;3619;GR;2732439.750;1189009.500;rm
Rueun;7156;0;Ilanz/Glion;3619;GR;2730842.220;1182241.408;rm
Pigniu;7156;1;Ilanz/Glion;3619;GR;2728080.605;1185558.196;rm
Siat;7157;0;Ilanz/Glion;3619;GR;2731687.201;1183638.560;rm
Fürstenaubruck;7413;0;Fürstenau;3633;GR;2753801.500;1175595.885;rm
Fürstenau;7414;0;Fürstenau;3633;GR;2753659.979;1176327.374;rm
Rothenbrunnen;7405;0;Rothenbrunnen;3637;GR;2751846.659;1181744.253;rm
Scharans;7412;0;Scharans;3638;GR;2754486.151;1176078.011;rm
Sils im Domleschg;7411;0;Sils im Domleschg;3640;GR;2754159.091;1174050.128;de
Cazis;7408;0;Cazis;3661;GR;2752205.218;1176371.593;rm
Summaprada;7421;0;Cazis;3661;GR;2752523.284;1175595.342;de
Tartar;7422;0;Cazis;3661;GR;2751332.721;1176078.525;rm
Sarn;7423;0;Cazis;3661;GR;2750693.650;1176166.588;rm
Portein;7423;2;Cazis;3661;GR;2750499.354;1175312.199;rm
Präz;7424;0;Cazis;3661;GR;2750334.500;1178615.372;rm
Dalin;7424;1;Cazis;3661;GR;2750227.417;1177871.953;rm
Flerden;7426;0;Flerden;3662;GR;2749768.469;1171016.480;rm
Flerden;7426;0;Flerden;3662;GR;2750379.378;1174383.986;rm
Masein;7425;0;Masein;3663;GR;2752030.768;1174567.798;de
Thusis;7430;0;Thusis;3668;GR;2752974.846;1173412.492;de
Mutten;7431;1;Thusis;3668;GR;2757518.864;1171841.584;de
Obermutten;7431;2;Thusis;3668;GR;2756676.333;1170896.564;de
Tschappina;7428;0;Tschappina;3669;GR;2747905.620;1172431.913;de
Urmein;7427;0;Urmein;3670;GR;2750072.527;1173049.840;de
Versam;7104;0;Safiental;3672;GR;2744873.668;1184316.474;de
Tenna;7106;0;Safiental;3672;GR;2744986.115;1179117.969;de
Safien Platz;7107;0;Safiental;3672;GR;2743555.349;1171930.356;de
Thalkirch;7109;0;Safiental;3672;GR;2741018.805;1167019.314;de
Valendas;7122;0;Safiental;3672;GR;2740739.849;1183576.419;de
Feldis/Veulden;7404;0;Domleschg;3673;GR;2752227.041;1184316.124;rm
Trans;7407;0;Domleschg;3673;GR;2754673.695;1181190.438;rm
Rodels;7415;0;Domleschg;3673;GR;2753340.426;1177987.474;rm
Pratval;7415;2;Domleschg;3673;GR;2753404.308;1177585.952;rm
Almens;7416;0;Domleschg;3673;GR;2754407.893;1178306.989;rm
Paspels;7417;0;Domleschg;3673;GR;2753256.873;1179651.021;rm
Tumegl/Tomils;7418;0;Domleschg;3673;GR;2752873.416;1180851.249;rm
Scheid;7419;0;Domleschg;3673;GR;2753673.498;1182734.165;rm
Campsut-Cröt;7446;0;Avers;3681;GR;2756779.374;1149887.004;de
Cresta (Avers);7447;0;Avers;3681;GR;2759371.924;1148977.699;de
Am Bach (Avers);7447;1;Avers;3681;GR;2761890.043;1146737.194;de
Juf;7448;0;Avers;3681;GR;2764518.040;1146019.274;de
Sufers;7434;0;Sufers;3695;GR;2747819.809;1159696.441;de
Andeer;7440;0;Andeer;3701;GR;2752165.751;1163082.193;rm
Clugin;7442;0;Andeer;3701;GR;2752163.951;1164708.800;rm
Pignia;7443;0;Andeer;3701;GR;2753390.296;1164436.053;rm
Rongellen;7430;2;Rongellen;3711;GR;2753380.658;1171103.761;rm
Zillis;7432;0;Zillis-Reischen;3712;GR;2753485.713;1166893.135;rm
Ausserferrera;7444;0;Ferrera;3713;GR;2753581.684;1158186.980;rm
Innerferrera;7445;0;Ferrera;3713;GR;2754861.000;1149888.875;rm
Innerferrera;7445;0;Ferrera;3713;GR;2753305.630;1154276.005;rm
Splügen;7435;0;Rheinwald;3714;GR;2744567.496;1157602.689;de
Medels im Rheinwald;7436;0;Rheinwald;3714;GR;2742268.390;1156683.313;de
Nufenen;7437;0;Rheinwald;3714;GR;2738583.365;1155980.061;de
Hinterrhein;7438;0;Rheinwald;3714;GR;2734893.298;1154928.035;de
Donat;7433;0;Muntogna da Schons;3715;GR;2752514.662;1166110.106;rm
Lohn GR;7433;3;Muntogna da Schons;3715;GR;2752293.345;1168786.031;rm
Mathon;7433;4;Muntogna da Schons;3715;GR;2751076.830;1166900.074;rm
Wergenstein;7433;5;Muntogna da Schons;3715;GR;2750560.134;1165708.828;rm
Bonaduz;7402;0;Bonaduz;3721;GR;2749868.614;1186395.254;de
Domat/Ems;7013;0;Domat/Ems;3722;GR;2753531.432;1189190.249;rm
Rhäzüns;7403;0;Rhäzüns;3723;GR;2749173.708;1184723.940;rm
Felsberg;7012;0;Felsberg;3731;GR;2754971.091;1190260.694;de
Flims Dorf;7017;0;Flims;3732;GR;2740788.421;1189045.271;rm
Flims Waldhaus;7018;0;Flims;3732;GR;2741355.309;1188118.843;rm
Fidaz;7019;0;Flims;3732;GR;2742688.424;1189438.970;rm
Tamins;7015;0;Tamins;3733;GR;2750243.134;1188337.576;de
Trin;7014;0;Trin;3734;GR;2746855.923;1188388.635;rm
Trin Mulin;7016;0;Trin;3734;GR;2744774.125;1188426.669;rm
Brail;7527;0;Zernez;3746;GR;2798815.566;1170530.121;rm
Zernez;7530;0;Zernez;3746;GR;2803145.864;1175446.069;rm
Susch;7542;0;Zernez;3746;GR;2801569.069;1180936.539;rm
Lavin;7543;0;Zernez;3746;GR;2804253.283;1183368.059;rm
Samnaun-Compatsch;7562;0;Samnaun;3752;GR;2825358.115;1205384.385;de
Samnaun Dorf;7563;0;Samnaun;3752;GR;2822491.844;1203042.353;de
Guarda;7545;0;Scuol;3762;GR;2807201.726;1184021.680;rm
Ardez;7546;0;Scuol;3762;GR;2811011.403;1184191.544;rm
Scuol;7550;0;Scuol;3762;GR;2818758.433;1186521.826;rm
Ftan;7551;0;Scuol;3762;GR;2814294.868;1186606.129;rm
Vulpera;7552;0;Scuol;3762;GR;2817387.625;1185731.250;rm
Tarasp;7553;0;Scuol;3762;GR;2815793.429;1184394.343;rm
Sent;7554;0;Scuol;3762;GR;2821131.159;1189050.538;rm
Ramosch;7556;0;Valsot;3764;GR;2813756.750;1198278.688;rm
Ramosch;7556;0;Valsot;3764;GR;2824520.172;1191229.760;rm
Vnà;7557;0;Valsot;3764;GR;2823056.341;1192148.953;rm
Strada;7558;0;Valsot;3764;GR;2828418.789;1194526.131;rm
Tschlin;7559;0;Valsot;3764;GR;2827465.273;1195407.711;rm
Martina;7560;0;Valsot;3764;GR;2830503.249;1197024.691;rm
Bever;7502;0;Bever;3781;GR;2775743.010;1155595.301;rm
Bever;7502;0;Bever;3781;GR;2787911.488;1158608.440;rm
Celerina/Schlarigna;7505;0;Celerina/Schlarigna;3782;GR;2786006.958;1154092.409;rm
Madulain;7523;0;Madulain;3783;GR;2791446.125;1162405.973;rm
Madulain;7523;0;Madulain;3783;GR;2796468.249;1152753.000;rm
Pontresina;7504;0;Pontresina;3784;GR;2789128.998;1152101.509;rm
La Punt Chamues-ch;7522;0;La Punt Chamues-ch;3785;GR;2790843.660;1161502.566;rm
Samedan;7503;0;Samedan;3786;GR;2786540.363;1156513.499;rm
St. Moritz;7500;0;St. Moritz;3787;GR;2784317.008;1152498.277;rm
S-chanf;7525;0;S-chanf;3788;GR;2795032.493;1165679.568;rm
Cinuos-chel;7526;0;S-chanf;3788;GR;2797846.401;1168851.716;rm
Chapella;7526;1;S-chanf;3788;GR;2796908.188;1167894.348;rm
Sils/Segl Maria;7514;0;Sils im Engadin/Segl;3789;GR;2778689.145;1144611.233;rm
Fex;7514;2;Sils im Engadin/Segl;3789;GR;2778507.086;1143488.622;rm
Sils/Segl Baselgia;7515;0;Sils im Engadin/Segl;3789;GR;2778011.515;1145222.039;rm
Plaun da Lej;7517;0;Sils im Engadin/Segl;3789;GR;2775701.544;1143723.206;rm
Champfèr;7512;0;Silvaplana;3790;GR;2782121.765;1150175.887;rm
Silvaplana;7513;0;Silvaplana;3790;GR;2781007.735;1148063.656;rm
Silvaplana-Surlej;7513;2;Silvaplana;3790;GR;2782452.456;1148107.295;rm
Zuoz;7524;0;Zuoz;3791;GR;2787505.500;1165190.125;rm
Zuoz;7524;0;Zuoz;3791;GR;2792875.485;1164219.535;rm
Maloja;7516;0;Bregaglia;3792;GR;2773587.062;1141497.199;it
Casaccia;7602;0;Bregaglia;3792;GR;2771294.015;1140159.181;it
Vicosoprano;7603;0;Bregaglia;3792;GR;2768060.919;1135614.379;it
Borgonovo;7604;0;Bregaglia;3792;GR;2766660.295;1135237.995;it
Stampa;7605;0;Bregaglia;3792;GR;2765656.705;1134718.438;it
Promontogno;7606;0;Bregaglia;3792;GR;2763184.609;1133995.896;it
Bondo;7606;1;Bregaglia;3792;GR;2762891.547;1133638.365;de
Castasegna;7608;0;Bregaglia;3792;GR;2759953.672;1133508.796;it
Soglio;7610;0;Bregaglia;3792;GR;2761708.581;1134353.523;it
Buseno;6542;0;Buseno;3804;GR;2728626.624;1125960.374;it
Castaneda;6540;0;Castaneda;3805;GR;2731219.656;1124264.640;it
Rossa;6548;0;Rossa;3808;GR;2729909.498;1137114.619;it
Augio;6548;1;Rossa;3808;GR;2729899.180;1136210.756;it
Sta. Domenica;6548;2;Rossa;3808;GR;2729632.595;1134772.990;it
Sta. Maria in Calanca;6541;0;Santa Maria in Calanca;3810;GR;2731549.084;1124939.597;it
Lostallo;6558;0;Lostallo;3821;GR;2735239.495;1130534.738;it
Mesocco;6563;0;Mesocco;3822;GR;2737833.165;1139508.877;it
S. Bernardino;6565;0;Mesocco;3822;GR;2734708.460;1147227.593;it
Soazza;6562;0;Soazza;3823;GR;2737296.176;1136620.379;it
Cama;6557;0;Cama;3831;GR;2733701.526;1125999.211;it
Grono;6537;0;Grono;3832;GR;2731589.600;1123220.647;it
Verdabbio;6538;0;Grono;3832;GR;2732530.468;1125539.598;it
Verdabbio;6538;0;Grono;3832;GR;2738426.625;1125249.875;it
Leggia;6556;0;Grono;3832;GR;2733057.621;1124742.868;it
Roveredo GR;6535;0;Roveredo (GR);3834;GR;2729696.668;1121573.789;it
Laura;6549;0;Roveredo (GR);3834;GR;2728600.490;1119353.854;it
S. Vittore;6534;0;San Vittore;3835;GR;2728922.175;1122149.361;it
S. Vittore;6534;0;San Vittore;3835;GR;2733097.360;1116434.608;it
Arvigo;6543;0;Calanca;3837;GR;2729022.628;1129247.988;it
Braggio;6544;0;Calanca;3837;GR;2729801.566;1129377.652;it
Selma;6545;0;Calanca;3837;GR;2729619.785;1131150.515;it
Cauco;6546;0;Calanca;3837;GR;2729556.763;1132907.951;it
Tschierv;7532;0;Val Müstair;3847;GR;2822219.946;1167799.689;rm
Fuldera;7533;0;Val Müstair;3847;GR;2824630.999;1166130.059;rm
Lü;7534;0;Val Müstair;3847;GR;2824402.974;1167657.051;rm
Valchava;7535;0;Val Müstair;3847;GR;2827511.773;1165298.939;rm
Sta. Maria Val Müstair;7536;0;Val Müstair;3847;GR;2828599.563;1165466.608;rm
Müstair;7537;0;Val Müstair;3847;GR;2830225.270;1167796.778;rm
Davos Dorf;7260;0;Davos;3851;GR;2783247.576;1187016.868;de
Davos Wolfgang;7265;0;Davos;3851;GR;2784295.869;1189600.628;de
Davos Platz;7270;0;Davos;3851;GR;2781951.614;1185220.651;de
Davos Clavadel;7272;0;Davos;3851;GR;2781590.776;1182300.864;de
Davos Frauenkirch;7276;0;Davos;3851;GR;2780242.771;1182443.152;de
Davos Glaris;7277;0;Davos;3851;GR;2778648.834;1179308.250;de
Davos Monstein;7278;0;Davos;3851;GR;2778313.654;1176070.492;de
Davos Wiesen;7494;0;Davos;3851;GR;2774026.615;1175025.247;de
Fideris;7235;0;Fideris;3861;GR;2775315.918;1198449.059;de
Furna;7232;0;Furna;3862;GR;2770569.387;1200864.756;de
Pragg-Jenaz;7231;0;Jenaz;3863;GR;2772434.134;1201089.215;de
Jenaz;7233;0;Jenaz;3863;GR;2773475.764;1199778.143;de
Saas im Prättigau;7247;0;Klosters;3871;GR;2780273.165;1198247.709;de
Serneus;7249;0;Klosters;3871;GR;2783001.054;1196086.254;de
Klosters;7250;0;Klosters;3871;GR;2786260.891;1193926.684;de
Klosters Dorf;7252;0;Klosters;3871;GR;2785684.758;1195383.278;de
Conters im Prättigau;7241;0;Conters im Prättigau;3881;GR;2779821.557;1197383.639;de
Küblis;7240;0;Küblis;3882;GR;2778109.483;1198556.610;de
Buchen im Prättigau;7223;0;Luzein;3891;GR;2773893.354;1201255.875;de
Putz;7224;0;Luzein;3891;GR;2775430.896;1199799.250;de
Luzein;7242;0;Luzein;3891;GR;2777009.854;1199167.510;de
Pany;7243;0;Luzein;3891;GR;2777467.604;1200376.569;de
Gadenstätt;7244;0;Luzein;3891;GR;2779229.188;1201952.844;de
Ascharina;7245;0;Luzein;3891;GR;2780251.310;1203448.471;de
St. Antönien;7246;0;Luzein;3891;GR;2780739.060;1204780.415;de
Chur;7000;0;Chur;3901;GR;2759706.950;1190690.995;de
Haldenstein;7023;0;Chur;3901;GR;2758787.576;1194116.531;de
Maladers;7026;0;Chur;3901;GR;2761864.350;1189472.298;de
Passugg;7062;0;Churwalden;3911;GR;2760841.313;1188727.692;de
Malix;7074;0;Churwalden;3911;GR;2759672.085;1186872.610;de
Churwalden;7075;0;Churwalden;3911;GR;2760798.288;1183216.771;de
Parpan;7076;0;Churwalden;3911;GR;2761861.572;1181060.828;de
Castiel;7027;0;Arosa;3921;GR;2764999.963;1189753.288;de
Lüen;7027;1;Arosa;3921;GR;2765874.455;1189159.245;de
Calfreisen;7027;3;Arosa;3921;GR;2764474.382;1190061.146;de
St. Peter;7028;0;Arosa;3921;GR;2768218.981;1189384.491;de
Pagig;7028;1;Arosa;3921;GR;2767662.563;1189677.134;de
Peist;7029;0;Arosa;3921;GR;2770510.739;1189301.002;de
Arosa;7050;0;Arosa;3921;GR;2770819.026;1183115.357;de
Molinis;7056;0;Arosa;3921;GR;2769103.015;1188626.038;de
Langwies;7057;0;Arosa;3921;GR;2773550.186;1187989.117;de
Litzirüti;7058;0;Arosa;3921;GR;2772817.773;1185474.181;de
Praden;7063;0;Tschiertschen-Praden;3932;GR;2763501.243;1188224.476;de
Tschiertschen;7064;0;Tschiertschen-Praden;3932;GR;2765455.356;1187474.893;de
Says;7202;0;Trimmis;3945;GR;2762769.576;1196934.770;de
Trimmis;7203;0;Trimmis;3945;GR;2761936.948;1196072.188;de
Untervaz;7204;0;Untervaz;3946;GR;2759646.332;1199479.522;de
Zizers;7205;0;Zizers;3947;GR;2761973.525;1200590.729;de
Fläsch;7306;0;Fläsch;3951;GR;2757743.580;1210384.180;de
Jenins;7307;0;Jenins;3952;GR;2761019.125;1207729.553;de
Maienfeld;7304;0;Maienfeld;3953;GR;2759132.449;1208448.388;de
Malans GR;7208;0;Malans;3954;GR;2762468.968;1205628.703;de
Igis;7206;0;Landquart;3955;GR;2762381.719;1201561.504;de
Landquart;7302;0;Landquart;3955;GR;2761328.660;1203567.343;de
Mastrils;7303;0;Landquart;3955;GR;2760201.273;1204023.991;de
Valzeina;7213;0;Grüsch;3961;GR;2764757.080;1202261.805;de
Grüsch;7214;0;Grüsch;3961;GR;2767996.415;1205851.318;de
Fanas;7215;0;Grüsch;3961;GR;2769480.565;1206116.246;de
Schiers;7220;0;Schiers;3962;GR;2771179.318;1204581.424;de
Schiers;7220;0;Schiers;3962;GR;2777310.500;1207552.063;de
Lunden;7222;0;Schiers;3962;GR;2773037.075;1202196.913;de
Stels;7226;0;Schiers;3962;GR;2773279.235;1204116.660;de
Stels;7226;0;Schiers;3962;GR;2779410.500;1209283.813;de
Fajauna;7226;2;Schiers;3962;GR;2772114.522;1204546.241;de
Schuders;7228;0;Schiers;3962;GR;2774918.199;1207011.799;de
Pusserein;7228;1;Schiers;3962;GR;2772853.156;1206111.030;de
Seewis Dorf;7212;0;Seewis im Prättigau;3972;GR;2767422.070;1206642.367;de
Seewis-Pardisla;7212;1;Seewis im Prättigau;3972;GR;2766851.750;1205274.875;de
Seewis-Schmitten;7212;2;Seewis im Prättigau;3972;GR;2767519.750;1205605.375;de
Waltensburg/Vuorz;7158;0;Breil/Brigels;3981;GR;2728217.116;1182031.382;rm
Andiast;7159;0;Breil/Brigels;3981;GR;2728219.280;1183132.068;rm
Tavanasa;7162;0;Breil/Brigels;3981;GR;2724077.789;1179464.496;rm
Danis;7163;0;Breil/Brigels;3981;GR;2723656.863;1179445.325;rm
Dardin;7164;0;Breil/Brigels;3981;GR;2722624.634;1179667.675;rm
Breil/Brigels;7165;0;Breil/Brigels;3981;GR;2723951.222;1180947.264;rm
Disentis/Mustér;7180;0;Disentis/Mustér;3982;GR;2708043.344;1173436.437;rm
Cavardiras;7182;0;Disentis/Mustér;3982;GR;2710582.499;1174275.614;rm
Mumpé Medel;7183;0;Disentis/Mustér;3982;GR;2707811.825;1171890.451;rm
Segnas;7186;0;Disentis/Mustér;3982;GR;2706267.382;1172465.461;rm
Curaglia;7184;0;Medel (Lucmagn);3983;GR;2708657.406;1170132.291;rm
Platta;7185;0;Medel (Lucmagn);3983;GR;2708332.271;1168422.715;rm
Rabius;7172;0;Sumvitg;3985;GR;2716159.385;1177047.780;rm
Surrein;7173;0;Sumvitg;3985;GR;2715494.799;1175721.415;rm
S. Benedetg;7174;0;Sumvitg;3985;GR;2714683.344;1177042.521;rm
Sumvitg;7175;0;Sumvitg;3985;GR;2714691.080;1176316.842;rm
Cumpadials;7176;0;Sumvitg;3985;GR;2713308.406;1175686.972;rm
Camischolas;7187;0;Tujetsch;3986;GR;2701178.406;1170980.031;rm
Sedrun;7188;0;Tujetsch;3986;GR;2702254.283;1170691.785;rm
Rueras;7189;0;Tujetsch;3986;GR;2700180.886;1170156.225;rm
Trun;7166;0;Trun;3987;GR;2718153.248;1177916.688;rm
Zignau;7167;0;Trun;3987;GR;2719792.214;1177835.458;rm
Schlans;7168;0;Trun;3987;GR;2720437.403;1179210.698;rm
Obersaxen;7134;0;Obersaxen Mundaun;3988;GR;2726958.130;1178826.126;de
Flond;7137;0;Obersaxen Mundaun;3988;GR;2731555.865;1181044.573;rm
Surcuolm;7138;0;Obersaxen Mundaun;3988;GR;2730286.331;1179929.414;rm
Aarau;5000;0;Aarau;4001;AG;2646060.838;1248866.143;de
Aarau;5004;0;Aarau;4001;AG;2646950.666;1250196.996;de
Aarau Rohr;5032;0;Aarau;4001;AG;2648813.665;1250332.912;de
Biberstein;5023;0;Biberstein;4002;AG;2648495.974;1251881.034;de
Buchs AG;5033;0;Buchs (AG);4003;AG;2647772.461;1248902.374;de
Asp;5025;0;Densbüren;4004;AG;2646021.130;1254853.903;de
Densbüren;5026;0;Densbüren;4004;AG;2646472.906;1255968.070;de
Barmelweid;5017;0;Erlinsbach (AG);4005;AG;2640092.101;1252474.514;de
Erlinsbach;5018;0;Erlinsbach (AG);4005;AG;2643101.899;1250895.703;de
Gränichen;5722;0;Gränichen;4006;AG;2650127.634;1245284.553;de
Hirschthal;5042;0;Hirschthal;4007;AG;2646705.596;1241054.115;de
Rombach;5022;0;Küttigen;4008;AG;2645905.516;1250691.783;de
Küttigen;5024;0;Küttigen;4008;AG;2645974.920;1251535.766;de
Muhen;5037;0;Muhen;4009;AG;2646310.636;1242865.780;de
Oberentfelden;5036;0;Oberentfelden;4010;AG;2644962.431;1245409.821;de
Suhr;5034;0;Suhr;4012;AG;2648142.560;1247124.266;de
Unterentfelden;5035;0;Unterentfelden;4013;AG;2645298.146;1246711.166;de
Baden;5400;0;Baden;4021;AG;2665611.856;1258347.229;de
Baden;5404;0;Baden;4021;AG;2663319.484;1256307.490;de
Dättwil AG;5405;2;Baden;4021;AG;2663894.694;1256307.160;de
Rütihof;5406;2;Baden;4021;AG;2662587.379;1254696.423;de
Bellikon;5454;0;Bellikon;4022;AG;2668463.887;1249326.122;de
Bergdietikon;8962;0;Bergdietikon;4023;AG;2671102.459;1249307.424;de
Birmenstorf AG;5413;0;Birmenstorf (AG);4024;AG;2661080.796;1257102.485;de
Ennetbaden;5408;0;Ennetbaden;4026;AG;2666733.796;1259241.444;de
Fislisbach;5442;0;Fislisbach;4027;AG;2664740.470;1254603.349;de
Freienwil;5423;0;Freienwil;4028;AG;2666890.082;1261698.320;de
Gebenstorf;5412;0;Gebenstorf;4029;AG;2660415.295;1259184.683;de
Vogelsang AG;5412;1;Gebenstorf;4029;AG;2660394.136;1260792.042;de
Killwangen;8956;0;Killwangen;4030;AG;2668658.793;1253943.429;de
Künten;5444;0;Künten;4031;AG;2667065.788;1249207.229;de
Mägenwil;5506;0;Mägenwil;4032;AG;2660005.549;1251294.471;de
Mellingen;5507;0;Mellingen;4033;AG;2663597.753;1252273.448;de
Neuenhof;5432;0;Neuenhof;4034;AG;2666753.275;1255367.034;de
Niederrohrdorf;5443;0;Niederrohrdorf;4035;AG;2664822.150;1252911.900;de
Oberrohrdorf;5452;0;Oberrohrdorf;4037;AG;2666654.623;1252811.256;de
Nussbaumen AG;5415;0;Obersiggenthal;4038;AG;2664124.810;1260165.671;de
Hertenstein AG;5415;1;Obersiggenthal;4038;AG;2665875.994;1260004.190;de
Rieden AG;5415;2;Obersiggenthal;4038;AG;2665226.313;1259603.694;de
Kirchdorf AG;5416;0;Obersiggenthal;4038;AG;2662953.683;1261016.280;de
Remetschwil;5453;0;Remetschwil;4039;AG;2667028.717;1251212.533;de
Spreitenbach;8957;0;Spreitenbach;4040;AG;2669953.129;1252195.512;de
Stetten AG;5608;0;Stetten (AG);4041;AG;2665472.926;1250222.987;de
Turgi;5300;0;Turgi;4042;AG;2661423.369;1260315.045;de
Siggenthal Station;5301;0;Untersiggenthal;4044;AG;2660210.344;1263026.444;de
Untersiggenthal;5417;0;Untersiggenthal;4044;AG;2661873.168;1261938.878;de
Wettingen;5430;0;Wettingen;4045;AG;2667237.462;1257830.113;de
Wohlenschwil;5512;0;Wohlenschwil;4046;AG;2661741.226;1251607.480;de
Würenlingen;5303;0;Würenlingen;4047;AG;2661749.518;1264711.363;de
Würenlos;5436;0;Würenlos;4048;AG;2669864.218;1255078.026;de
Kloster Fahr;8109;0;Würenlos;4048;AG;2675508.964;1251309.891;de
Ehrendingen;5420;0;Ehrendingen;4049;AG;2668079.586;1261120.383;de
Arni AG;8905;3;Arni (AG);4061;AG;2674218.158;1241316.584;de
Berikon;8965;0;Berikon;4062;AG;2670599.482;1244747.919;de
Bremgarten AG;5620;0;Bremgarten (AG);4063;AG;2668123.115;1244947.241;de
Hermetschwil-Staffeln;5626;0;Bremgarten (AG);4063;AG;2668248.058;1242552.290;de
Büttikon AG;5619;0;Büttikon;4064;AG;2662803.030;1242298.028;de
Dottikon;5605;0;Dottikon;4065;AG;2660588.599;1248401.929;de
Eggenwil;5445;0;Eggenwil;4066;AG;2668021.176;1246648.346;de
Fischbach-Göslikon;5525;0;Fischbach-Göslikon;4067;AG;2665899.496;1246841.485;de
Hägglingen;5607;0;Hägglingen;4068;AG;2661571.294;1248840.870;de
Jonen;8916;0;Jonen;4071;AG;2672371.763;1238764.649;de
Niederwil AG;5524;0;Niederwil (AG);4072;AG;2664622.853;1247897.368;de
Nesselnbach;5524;2;Niederwil (AG);4072;AG;2664710.959;1249190.631;de
Oberlunkhofen;8917;0;Oberlunkhofen;4073;AG;2671932.539;1240605.294;de
Oberwil-Lieli;8966;0;Oberwil-Lieli;4074;AG;2671571.475;1243193.373;de
Rudolfstetten;8964;0;Rudolfstetten-Friedlisberg;4075;AG;2671043.006;1246808.767;de
Sarmenstorf;5614;0;Sarmenstorf;4076;AG;2661494.447;1240592.958;de
Tägerig;5522;0;Tägerig;4077;AG;2663614.951;1250520.248;de
Uezwil;5619;2;Uezwil;4078;AG;2663274.830;1240853.466;de
Unterlunkhofen;8918;0;Unterlunkhofen;4079;AG;2671228.704;1241582.702;de
Villmergen;5612;0;Villmergen;4080;AG;2660847.523;1244187.196;de
Hilfikon;5613;0;Villmergen;4080;AG;2661394.014;1242802.999;de
Widen;8967;0;Widen;4081;AG;2669418.583;1246721.345;de
Wohlen AG;5610;0;Wohlen (AG);4082;AG;2663435.304;1244821.606;de
Anglikon;5611;0;Wohlen (AG);4082;AG;2662255.739;1246384.198;de
Zufikon;5621;0;Zufikon;4083;AG;2669693.528;1244149.970;de
Islisberg;8905;2;Islisberg;4084;AG;2675645.717;1241777.155;de
